编号,重量,价值,价值/重量比
84,74,197.75,2.6723
85,13,390.27,30.0208
86,76,189.22,2.4897
87,47,151.37,3.2206
88,62,248.13,4.0021
89,99,167.11,1.6880
90,21,288.27,13.7271
91,3,395.47,131.8233
92,92,309.35,3.3625
93,79,302.63,3.8308
94,85,231.79,2.7269
95,54,408.31,7.5613
96,27,124.11,4.5967
97,86,152.99,1.7790
98,99,423.05,4.2732
99,4,289.33,72.3325
100,72,272.79,3.7888
101,79,141.44,1.7904
102,98,137.55,1.4036
103,64,227.85,3.5602
104,42,259.79,6.1855
105,78,264.56,3.3918
106,24,135.49,5.6454
107,3,422.27,140.7567
108,85,409.22,4.8144
109,2,113.99,56.9950
110,44,236.11,5.3661
111,3,221.31,73.7700
112,31,360.92,11.6426
113,32,413.76,12.9300
114,1,373.77,373.7700
115,69,418.99,6.0723
116,10,392.71,39.2710
117,42,174.78,4.1614
118,61,220.28,3.6111
119,67,183.95,2.7455
120,33,325.93,9.8767
121,48,280.19,5.8373
122,91,322.86,3.5479
123,6,419.43,69.9050
124,99,274.31,2.7708
125,7,394.12,56.3029
126,97,170.06,1.7532
127,93,119.08,1.2804
128,62,286.81,4.6260
129,81,335.15,4.1377
130,95,394.62,4.1539
131,73,136.63,1.8716
132,33,195.32,5.9188
133,2,343.80,171.9000
134,66,265.95,4.0295
135,80,278.95,3.4869
136,11,322.47,29.3155
137,90,244.17,2.7130
138,98,302.64,3.0882
139,26,208.46,8.0177
140,65,100.55,1.5469
141,76,121.02,1.5924
142,56,174.53,3.1166
143,22,222.68,10.1218
144,68,171.95,2.5287
145,81,218.70,2.7000
146,84,414.01,4.9287
147,58,272.44,4.6972
148,97,106.96,1.1027
149,95,389.40,4.0989
150,40,400.11,10.0028
151,71,167.96,2.3656
152,27,258.45,9.5722
153,18,401.70,22.3167
154,80,151.72,1.8965
155,90,317.45,3.5272
156,60,216.97,3.6162
157,27,126.13,4.6715
158,24,359.67,14.9863
159,33,376.65,11.4136
160,36,419.61,11.6558
161,8,253.27,31.6588
162,1,329.60,329.6000
163,75,397.04,5.2939
164,61,359.38,5.8915
165,85,267.48,3.1468
166,28,389.85,13.9232
167,28,212.68,7.5957
168,73,276.05,3.7815
169,10,229.97,22.9970
170,30,243.95,8.1317
171,78,342.64,4.3928
172,96,102.69,1.0697
173,43,145.21,3.3770
174,30,149.56,4.9853
175,23,149.09,6.4822
176,63,255.47,4.0551
177,10,187.43,18.7430
178,98,336.06,3.4292
179,92,132.28,1.4378
180,94,334.43,3.5578
181,40,149.01,3.7252
182,6,299.27,49.8783
183,19,170.61,8.9795
184,50,322.83,6.4566
185,9,404.28,44.9200
186,95,267.06,2.8112
187,14,259.14,18.5100
188,64,353.00,5.5156
189,71,129.05,1.8176
190,21,248.28,11.8229
191,30,142.30,4.7433
192,84,349.05,4.1554
193,63,312.45,4.9595
194,86,269.60,3.1349
195,93,134.22,1.4432
196,39,202.41,5.1900
197,25,419.99,16.7996
198,1,161.72,161.7200
199,60,178.16,2.9693
200,30,151.88,5.0627
201,95,176.53,1.8582
202,16,205.78,12.8613
203,42,420.98,10.0233
204,92,385.57,4.1910
205,61,243.50,3.9918
206,10,346.16,34.6160
207,83,354.44,4.2704
208,44,192.28,4.3700
209,76,151.63,1.9951
210,33,263.44,7.9830
211,14,127.15,9.0821
212,45,266.77,5.9282
213,66,370.73,5.6171
214,2,307.52,153.7600
215,19,422.93,22.2595
216,60,304.68,5.0780
217,39,324.41,8.3182
218,24,341.79,14.2413
219,18,250.28,13.9044
220,49,406.56,8.2971
221,24,214.08,8.9200
222,61,102.79,1.6851
223,54,179.53,3.3246
224,95,393.23,4.1393
225,91,426.32,4.6848
226,100,420.05,4.2005
227,67,214.14,3.1961
228,35,308.74,8.8211
229,96,161.97,1.6872
230,84,380.92,4.5348
231,45,160.66,3.5702
232,97,145.16,1.4965
233,87,202.24,2.3246
234,40,270.70,6.7675
235,50,203.47,4.0694
236,15,427.57,28.5047
237,4,309.02,77.2550
238,29,130.09,4.4859
239,68,373.48,5.4924
240,92,382.38,4.1563
241,49,106.83,2.1802
242,3,155.84,51.9467
243,52,221.86,4.2665
244,74,242.59,3.2782
245,8,169.45,21.1812
246,84,323.11,3.8465
247,100,336.76,3.3676
248,32,153.40,4.7938
249,10,362.42,36.2420
250,75,212.74,2.8365
251,94,132.77,1.4124
252,73,265.64,3.6389
253,81,356.27,4.3984
254,94,353.91,3.7650
255,63,105.00,1.6667
256,3,378.70,126.2333
257,91,344.61,3.7869
258,49,167.19,3.4120
259,49,355.81,7.2614
260,33,115.79,3.5088
261,28,328.62,11.7364
262,61,372.26,6.1026
263,33,309.33,9.3736
264,6,287.25,47.8750
265,48,261.66,5.4513
266,66,357.44,5.4158
267,54,269.31,4.9872
268,48,198.63,4.1381
269,95,398.75,4.1974
270,61,341.68,5.6013
271,60,232.42,3.8737
272,33,406.58,12.3206
273,19,212.38,11.1779
274,35,136.77,3.9077
275,54,217.35,4.0250
276,25,108.90,4.3560
277,50,134.60,2.6920
278,96,408.11,4.2511
279,5,143.13,28.6260
280,91,309.98,3.4064
281,37,227.10,6.1378
282,5,208.23,41.6460
283,50,240.04,4.8008
284,39,309.80,7.9436
285,58,366.80,6.3241
286,94,285.48,3.0370
287,96,354.54,3.6931
288,30,295.86,9.8620
289,7,308.62,44.0886
290,16,371.83,23.2394
291,11,114.42,10.4018
292,70,207.90,2.9700
293,32,280.58,8.7681
294,65,279.72,4.3034
295,94,281.76,2.9974
296,6,118.00,19.6667
297,17,145.52,8.5600
298,43,220.87,5.1365
299,19,378.50,19.9211
300,87,160.19,1.8413
301,42,405.79,9.6617
302,8,346.68,43.3350
303,22,121.36,5.5164
304,81,337.19,4.1628
305,90,136.12,1.5124
306,5,165.91,33.1820
307,49,406.12,8.2882
308,59,204.25,3.4619
309,64,364.10,5.6891
310,63,133.09,2.1125
311,94,236.95,2.5207
312,75,396.17,5.2823
313,57,118.77,2.0837
314,53,165.04,3.1140
315,11,414.03,37.6391
316,4,427.00,106.7500
317,55,220.73,4.0133
318,48,328.23,6.8381
319,41,217.11,5.2954
320,79,298.95,3.7842
321,3,395.78,131.9267
322,38,420.20,11.0579
323,6,192.07,32.0117
324,29,350.19,12.0755
325,69,197.70,2.8652
326,46,411.16,8.9383
327,80,227.05,2.8381
328,31,324.12,10.4555
329,23,136.04,5.9148
330,34,107.39,3.1585
331,95,127.20,1.3389
332,13,282.14,21.7031
333,1,387.09,387.0900
334,46,330.05,7.1750
335,35,394.21,11.2631
336,96,410.37,4.2747
337,16,365.10,22.8188
338,42,366.78,8.7329
339,80,261.45,3.2681
340,51,375.70,7.3667
341,34,136.66,4.0194
342,59,215.47,3.6520
343,44,193.88,4.4064
344,78,197.58,2.5331
345,84,401.59,4.7808
346,75,411.51,5.4868
347,52,332.81,6.4002
348,6,341.41,56.9017
349,53,384.62,7.2570
350,61,421.35,6.9074
351,71,128.56,1.8107
352,71,378.39,5.3294
353,28,192.01,6.8575
354,34,190.06,5.5900
355,73,143.94,1.9718
356,10,143.91,14.3910
357,49,423.65,8.6459
358,38,255.21,6.7161
359,25,130.49,5.2196
360,95,117.77,1.2397
361,73,351.64,4.8170
362,55,427.24,7.7680
363,49,258.45,5.2745
364,20,370.61,18.5305
365,13,235.79,18.1377
366,5,312.92,62.5840
367,64,258.01,4.0314
368,88,370.77,4.2133
369,3,239.46,79.8200
370,89,371.39,4.1729
371,43,403.48,9.3833
372,94,306.44,3.2600
373,33,205.60,6.2303
374,11,225.83,20.5300
375,13,408.80,31.4462
376,71,319.00,4.4930
377,20,292.83,14.6415
378,11,129.07,11.7336
379,97,165.99,1.7112
380,67,268.70,4.0104
381,51,178.13,3.4927
382,19,340.20,17.9053
383,76,360.88,4.7484
384,72,360.71,5.0099
385,9,102.43,11.3811
386,71,378.37,5.3292
387,96,344.46,3.5881
388,66,337.27,5.1102
389,2,155.22,77.6100
390,92,119.72,1.3013
391,47,141.21,3.0045
392,33,185.67,5.6264
393,58,419.19,7.2274
394,71,116.11,1.6354
395,94,368.43,3.9195
396,26,395.48,15.2108
397,1,336.52,336.5200
398,31,152.55,4.9210
399,22,394.36,17.9255
400,55,126.85,2.3064
401,6,246.26,41.0433
402,38,303.25,7.9803
403,86,305.51,3.5524
404,30,171.20,5.7067
405,76,177.28,2.3326
406,92,226.24,2.4591
407,47,129.71,2.7598
408,14,218.35,15.5964
409,16,156.69,9.7931
410,18,301.39,16.7439
411,87,246.99,2.8390
412,58,260.75,4.4957
413,97,395.52,4.0775
414,28,351.66,12.5593
415,62,366.87,5.9173
416,40,236.32,5.9080
417,26,368.33,14.1665
418,4,207.53,51.8825
419,48,348.80,7.2667
420,31,203.83,6.5752
421,71,391.49,5.5139
422,41,148.66,3.6259
423,49,244.47,4.9892
424,58,395.35,6.8164
425,57,129.41,2.2704
426,28,239.58,8.5564
427,67,217.11,3.2404
428,27,162.84,6.0311
429,5,254.72,50.9440
430,87,197.76,2.2731
431,8,337.99,42.2488
432,40,406.31,10.1578
433,29,381.02,13.1386
434,37,122.04,3.2984
435,2,260.01,130.0050
436,21,308.52,14.6914
437,4,149.63,37.4075
438,27,114.94,4.2570
439,5,406.86,81.3720
440,48,172.75,3.5990
441,40,193.45,4.8362
442,35,109.94,3.1411
443,80,417.75,5.2219
444,4,205.52,51.3800
445,23,356.46,15.4983
446,75,231.10,3.0813
447,53,418.53,7.8968
448,42,159.47,3.7969
449,43,411.78,9.5763
450,66,374.51,5.6744
451,48,203.70,4.2437
452,23,164.08,7.1339
453,53,329.22,6.2117
454,68,322.24,4.7388
455,83,261.74,3.1535
456,5,122.79,24.5580
457,27,419.92,15.5526
458,60,388.71,6.4785
459,49,383.71,7.8308
460,1,297.98,297.9800
461,50,375.04,7.5008
462,85,305.83,3.5980
463,3,115.13,38.3767
464,39,134.58,3.4508
465,61,147.72,2.4216
466,43,278.95,6.4872
467,38,395.63,10.4113
468,74,237.78,3.2132
469,31,384.41,12.4003
470,61,281.70,4.6180
471,32,160.55,5.0172
472,28,295.48,10.5529
473,9,111.93,12.4367
474,18,210.70,11.7056
475,18,356.34,19.7967
476,7,154.86,22.1229
477,46,199.83,4.3441
478,65,245.39,3.7752
479,51,296.33,5.8104
480,67,120.54,1.7991
481,73,146.38,2.0052
482,11,101.70,9.2455
483,68,119.71,1.7604
484,77,146.97,1.9087
485,54,312.10,5.7796
486,72,129.06,1.7925
487,50,178.27,3.5654
488,54,218.58,4.0478
489,78,426.04,5.4621
490,15,318.38,21.2253
491,75,300.54,4.0072
492,14,279.27,19.9479
493,75,262.91,3.5055
494,22,170.18,7.7355
495,69,243.54,3.5296
496,65,367.03,5.6466
497,72,197.26,2.7397
498,2,406.02,203.0100
499,54,349.47,6.4717
500,49,297.52,6.0718
501,31,324.19,10.4577
502,17,297.07,17.4747
503,18,113.36,6.2978
504,30,208.31,6.9437
505,90,112.43,1.2492
506,75,112.79,1.5039
507,92,232.37,2.5258
508,25,324.45,12.9780
509,97,228.35,2.3541
510,84,169.89,2.0225
511,14,272.31,19.4507
512,50,273.79,5.4758
513,47,304.93,6.4879
514,74,413.74,5.5911
515,60,143.55,2.3925
516,10,245.34,24.5340
517,72,192.29,2.6707
518,40,204.66,5.1165
519,1,143.19,143.1900
520,73,386.37,5.2927
521,1,102.37,102.3700
522,55,274.97,4.9995
523,26,219.12,8.4277
524,13,404.36,31.1046
525,72,302.97,4.2079
526,8,303.47,37.9338
527,56,421.78,7.5318
528,77,356.76,4.6332
529,52,361.31,6.9483
530,40,299.04,7.4760
531,98,250.19,2.5530
532,23,334.81,14.5570
533,55,230.72,4.1949
534,72,223.13,3.0990
535,9,168.65,18.7389
536,10,352.19,35.2190
537,67,231.45,3.4545
538,63,144.53,2.2941
539,11,379.26,34.4782
540,61,110.78,1.8161
541,24,253.23,10.5512
542,6,271.48,45.2467
543,49,126.91,2.5900
544,42,281.94,6.7129
545,77,145.68,1.8919
546,7,205.36,29.3371
547,97,158.11,1.6300
548,25,388.11,15.5244
549,19,313.48,16.4989
550,69,365.35,5.2949
551,72,141.79,1.9693
552,42,166.02,3.9529
553,40,222.64,5.5660
554,98,341.06,3.4802
555,68,227.13,3.3401
556,94,151.62,1.6130
557,45,388.34,8.6298
558,77,399.13,5.1835
559,27,184.58,6.8363
560,87,176.11,2.0243
561,73,307.70,4.2151
562,37,245.41,6.6327
563,31,390.26,12.5890
564,23,360.51,15.6743
565,39,201.92,5.1774
566,48,285.80,5.9542
567,32,393.60,12.3000
568,77,348.88,4.5309
569,40,341.62,8.5405
570,53,142.72,2.6928
571,98,311.27,3.1762
572,8,384.88,48.1100
573,91,249.50,2.7418
574,82,325.52,3.9698
575,44,132.15,3.0034
576,86,299.20,3.4791
577,59,401.41,6.8036
578,46,173.51,3.7720
579,29,210.09,7.2445
580,69,340.41,4.9335
581,21,200.13,9.5300
582,45,263.60,5.8578
583,15,323.18,21.5453
584,30,244.23,8.1410
585,19,413.75,21.7763
586,7,107.68,15.3829
587,51,248.41,4.8708
588,38,146.32,3.8505
589,86,248.31,2.8873
590,5,314.44,62.8880
591,31,213.53,6.8881
592,91,388.92,4.2738
593,21,195.83,9.3252
594,83,368.62,4.4412
595,32,242.96,7.5925
596,57,221.66,3.8888
597,36,171.87,4.7742
598,55,219.48,3.9905
599,96,363.91,3.7907
600,22,311.67,14.1668
601,62,151.74,2.4474
602,1,108.01,108.0100
603,29,361.83,12.4769
604,32,215.55,6.7359
605,51,356.04,6.9812
606,53,271.23,5.1175
607,72,396.17,5.5024
608,63,316.02,5.0162
609,42,330.39,7.8664
610,12,195.95,16.3292
611,30,182.39,6.0797
612,49,358.89,7.3243
613,56,195.94,3.4989
614,99,371.12,3.7487
615,31,344.97,11.1281
616,84,160.86,1.9150
617,15,138.72,9.2480
618,98,312.75,3.1913
619,10,370.65,37.0650
620,75,194.56,2.5941
621,36,103.67,2.8797
622,22,398.20,18.1000
623,30,371.03,12.3677
624,34,412.13,12.1215
625,70,348.85,4.9836
626,24,300.69,12.5288
627,97,100.78,1.0390
628,85,256.82,3.0214
629,49,238.50,4.8673
630,52,250.10,4.8096
631,28,146.77,5.2418
632,85,189.98,2.2351
633,31,189.82,6.1232
634,83,204.87,2.4683
635,60,372.87,6.2145
636,27,146.15,5.4130
637,30,220.22,7.3407
638,69,211.62,3.0670
639,55,207.95,3.7809
640,79,158.91,2.0115
641,53,337.71,6.3719
642,36,314.27,8.7297
643,20,121.72,6.0860
644,78,208.65,2.6750
645,51,153.07,3.0014
646,83,340.36,4.1007
647,7,356.26,50.8943
648,36,274.95,7.6375
649,55,335.18,6.0942
650,68,219.64,3.2300
651,26,190.00,7.3077
652,87,266.25,3.0603
653,18,339.06,18.8367
654,42,180.02,4.2862
655,74,355.64,4.8059
656,10,154.24,15.4240
657,39,270.79,6.9433
658,87,165.12,1.8979
659,70,420.03,6.0004
660,84,313.02,3.7264
661,30,335.88,11.1960
662,15,112.05,7.4700
663,4,300.89,75.2225
664,90,424.79,4.7199
665,34,164.65,4.8426
666,20,106.26,5.3130
667,35,350.13,10.0037
668,96,228.53,2.3805
669,82,308.58,3.7632
670,40,413.58,10.3395
671,99,331.00,3.3434
672,85,145.99,1.7175
673,40,336.99,8.4247
674,74,406.26,5.4900
675,69,238.65,3.4587
676,94,146.35,1.5569
677,86,415.18,4.8277
678,29,315.33,10.8734
679,75,342.35,4.5647
680,71,126.32,1.7792
681,11,138.46,12.5873
682,31,238.58,7.6961
683,33,121.82,3.6915
684,2,167.47,83.7350
685,72,192.24,2.6700
686,92,336.37,3.6562
687,26,357.45,13.7481
688,65,342.92,5.2757
689,100,284.85,2.8485
690,84,249.30,2.9679
691,16,182.47,11.4044
692,44,401.18,9.1177
693,83,234.25,2.8223
694,1,358.93,358.9300
695,52,238.14,4.5796
696,78,310.18,3.9767
697,68,276.55,4.0669
698,18,304.35,16.9083
699,11,135.55,12.3227
700,28,350.68,12.5243
701,71,268.50,3.7817
702,49,324.80,6.6286
703,96,381.96,3.9787
704,21,103.80,4.9429
705,99,405.65,4.0975
706,94,185.82,1.9768
707,63,252.20,4.0032
708,80,264.77,3.3096
709,53,179.09,3.3791
710,90,276.20,3.0689
711,55,124.67,2.2667
712,19,401.71,21.1426
713,80,158.50,1.9812
714,21,288.29,13.7281
715,13,417.64,32.1262
716,2,195.83,97.9150
717,23,375.54,16.3278
718,52,396.85,7.6317
719,67,402.69,6.0103
720,95,231.29,2.4346
721,78,222.69,2.8550
722,40,349.04,8.7260
723,78,172.10,2.2064
724,80,368.29,4.6036
725,60,195.37,3.2562
726,85,397.47,4.6761
727,48,189.54,3.9487
728,8,287.08,35.8850
729,54,234.32,4.3393
730,36,144.40,4.0111
731,95,390.24,4.1078
732,61,236.76,3.8813
733,43,238.86,5.5549
734,69,212.14,3.0745
735,80,141.32,1.7665
736,71,350.42,4.9355
737,11,129.63,11.7845
738,81,186.07,2.2972
739,41,372.95,9.0963
740,36,165.23,4.5897
741,65,116.15,1.7869
742,97,366.97,3.7832
743,15,343.87,22.9247
744,30,313.27,10.4423
745,100,186.01,1.8601
746,17,123.65,7.2735
747,33,182.09,5.5179
748,17,157.38,9.2576
749,9,126.70,14.0778
750,87,382.59,4.3976
751,27,353.76,13.1022
752,42,219.35,5.2226
753,39,407.53,10.4495
754,34,424.04,12.4718
755,84,353.73,4.2111
756,81,225.27,2.7811
757,30,317.17,10.5723
758,27,125.90,4.6630
759,53,222.29,4.1942
760,84,304.98,3.6307
761,57,238.28,4.1804
762,11,118.59,10.7809
763,47,300.77,6.3994
764,53,102.45,1.9330
765,32,194.68,6.0838
766,54,178.66,3.3085
767,45,208.74,4.6387
768,72,384.73,5.3435
769,71,241.73,3.4046
770,38,120.93,3.1824
771,55,319.94,5.8171
772,82,268.17,3.2704
773,17,406.20,23.8941
774,34,240.10,7.0618
775,8,166.01,20.7512
776,4,220.05,55.0125
777,65,175.55,2.7008
778,52,318.75,6.1298
779,9,322.05,35.7833
780,94,349.77,3.7210
781,56,158.06,2.8225
782,8,150.85,18.8562
783,88,236.91,2.6922
784,36,215.59,5.9886
785,9,343.36,38.1511
786,58,270.12,4.6572
787,82,200.62,2.4466
788,56,146.81,2.6216
789,48,206.04,4.2925
790,35,261.66,7.4760
791,10,239.75,23.9750
792,66,149.44,2.2642
793,96,324.92,3.3846
794,69,227.55,3.2978
795,40,200.56,5.0140
796,39,327.27,8.3915
797,21,274.86,13.0886
798,42,163.56,3.8943
799,94,364.72,3.8800
800,79,197.13,2.4953
801,27,327.85,12.1426
802,17,195.85,11.5206
803,78,303.70,3.8936
804,87,174.88,2.0101
805,17,409.89,24.1112
806,2,367.29,183.6450
807,69,231.75,3.3587
808,55,317.23,5.7678
809,86,245.52,2.8549
810,41,300.77,7.3359
811,42,269.83,6.4245
812,29,251.37,8.6679
813,36,362.74,10.0761
814,11,378.13,34.3755
815,81,242.20,2.9901
816,56,292.32,5.2200
817,92,353.38,3.8411
818,92,174.67,1.8986
819,1,332.95,332.9500
820,34,143.80,4.2294
821,15,287.58,19.1720
822,34,375.31,11.0385
823,79,309.13,3.9130
824,63,425.27,6.7503
825,4,366.87,91.7175
826,12,308.08,25.6733
827,32,259.23,8.1009
828,12,143.88,11.9900
829,7,126.75,18.1071
830,20,269.86,13.4930
831,51,225.90,4.4294
832,60,269.55,4.4925
833,7,137.77,19.6814
834,87,124.74,1.4338
835,29,371.00,12.7931
836,98,305.83,3.1207
837,29,307.04,10.5876
838,83,401.01,4.8314
839,15,362.52,24.1680
840,85,308.51,3.6295
841,20,350.49,17.5245
842,48,316.14,6.5862
843,79,276.98,3.5061
844,39,159.77,4.0967
845,39,142.32,3.6492
846,8,266.35,33.2938
847,55,395.89,7.1980
848,62,358.02,5.7745
849,74,269.27,3.6388
850,61,261.18,4.2816
851,84,224.00,2.6667
852,22,390.97,17.7714
853,49,168.20,3.4327
854,99,201.26,2.0329
855,36,333.77,9.2714
856,61,262.72,4.3069
857,99,400.62,4.0467
858,34,360.84,10.6129
859,65,154.85,2.3823
860,6,259.45,43.2417
861,4,216.91,54.2275
862,61,109.10,1.7885
863,88,228.10,2.5920
864,3,264.69,88.2300
865,60,240.44,4.0073
866,66,113.04,1.7127
867,44,404.68,9.1973
868,87,262.33,3.0153
869,30,113.67,3.7890
870,79,157.58,1.9947
871,48,215.93,4.4985
872,73,389.08,5.3299
873,10,281.17,28.1170
874,53,119.71,2.2587
875,56,103.48,1.8479
876,50,208.75,4.1750
877,7,372.98,53.2829
878,95,164.29,1.7294
879,4,232.69,58.1725
880,67,157.33,2.3482
881,29,414.24,14.2841
882,43,161.66,3.7595
883,63,166.23,2.6386
884,49,243.83,4.9761
885,56,273.48,4.8836
886,54,293.08,5.4274
887,42,380.89,9.0688
888,6,266.57,44.4283
889,15,298.79,19.9193
890,7,222.60,31.8000
891,30,384.71,12.8237
892,47,234.31,4.9853
893,14,192.70,13.7643
894,83,111.99,1.3493
895,62,315.66,5.0913
896,45,336.81,7.4847
897,81,385.63,4.7609
898,24,202.35,8.4313
899,79,123.79,1.5670
900,3,137.16,45.7200
901,47,337.30,7.1766
902,74,272.52,3.6827
903,22,268.76,12.2164
904,87,262.63,3.0187
905,80,319.80,3.9975
906,56,285.57,5.0995
907,21,328.53,15.6443
908,12,368.22,30.6850
909,63,128.63,2.0417
910,21,256.93,12.2348
911,78,106.53,1.3658
912,66,254.10,3.8500
913,12,292.27,24.3558
914,32,327.32,10.2287
915,47,288.30,6.1340
916,21,204.79,9.7519
917,87,209.84,2.4120
918,43,385.22,8.9586
919,40,353.85,8.8463
920,86,222.44,2.5865
921,35,425.56,12.1589
922,53,221.69,4.1828
923,36,299.19,8.3108
924,38,120.31,3.1661
925,84,193.01,2.2977
926,60,217.74,3.6290
927,12,269.05,22.4208
928,37,148.63,4.0170
929,50,159.24,3.1848
930,80,270.43,3.3804
931,70,394.25,5.6321
932,48,186.96,3.8950
933,60,338.55,5.6425
934,98,234.48,2.3927
935,68,178.63,2.6269
936,43,124.34,2.8916
937,42,257.11,6.1217
938,6,240.93,40.1550
939,7,384.45,54.9214
940,89,116.58,1.3099
941,79,285.44,3.6132
942,45,237.70,5.2822
943,8,207.47,25.9337
944,71,392.96,5.5346
945,91,226.59,2.4900
946,72,390.16,5.4189
947,66,227.32,3.4442
948,68,284.70,4.1868
949,46,402.87,8.7580
950,59,375.89,6.3710
951,58,319.83,5.5143
952,75,407.45,5.4327
953,27,325.88,12.0696
954,46,194.91,4.2372
955,74,395.59,5.3458
956,4,133.12,33.2800
957,79,192.87,2.4414
958,43,201.69,4.6905
959,58,360.27,6.2116
960,51,182.05,3.5696
961,63,294.08,4.6679
962,3,358.89,119.6300
963,38,279.75,7.3618
964,40,176.85,4.4212
965,93,297.27,3.1965
966,37,351.29,9.4943
967,42,422.33,10.0555
968,6,333.27,55.5450
969,52,375.32,7.2177
970,66,232.18,3.5179
971,97,195.09,2.0112
972,27,406.80,15.0667
973,47,244.99,5.2126
974,15,291.56,19.4373
975,7,234.09,33.4414
976,74,154.71,2.0907
977,59,376.54,6.3820
978,57,146.00,2.5614
979,34,111.94,3.2924
980,97,330.65,3.4088
981,18,131.30,7.2944
982,72,327.16,4.5439
983,5,182.21,36.4420
984,31,279.50,9.0161
985,76,363.91,4.7883
986,9,142.91,15.8789
987,84,351.98,4.1902
988,79,324.58,4.1086
989,81,331.16,4.0884
990,41,330.74,8.0668
991,77,369.81,4.8027
992,7,427.49,61.0700
993,69,376.09,5.4506
994,11,345.48,31.4073
995,86,318.52,3.7037
996,46,363.47,7.9015
997,95,229.48,2.4156
998,26,111.59,4.2919
999,77,329.78,4.2829
1000,91,101.57,1.1162
